,Unnamed: 0,code,Feature Name
0,0,ALLP,Select a park for feature details.
15,15,ACAD,Arts and Culture
16,16,ACAD,Cultural Demonstrations
17,17,ACAD,Astronomy
18,18,ACAD,Stargazing
19,19,ACAD,Biking
20,20,ACAD,Boating
21,21,ACAD,Camping
22,22,ACAD,Group Camping
23,23,ACAD,Climbing
24,24,ACAD,Rock Climbing
25,25,ACAD,Compass and GPS
26,26,ACAD,Geocaching
27,27,ACAD,Fishing
28,28,ACAD,Freshwater Fishing
29,29,ACAD,Fly Fishing
30,30,ACAD,Saltwater Fishing
31,31,ACAD,Food
32,32,ACAD,Picnicking
33,33,ACAD,Guided Tours
34,34,ACAD,Bus/Shuttle Guided Tour
35,35,ACAD,Boat Tour
36,36,ACAD,Hands-On
37,37,ACAD,Citizen Science
38,38,ACAD,Hiking
39,39,ACAD,Front-Country Hiking
40,40,ACAD,Horse Trekking
41,41,ACAD,Horseback Riding
42,42,ACAD,Ice Skating
43,43,ACAD,Paddling
44,44,ACAD,Canoeing
45,45,ACAD,Kayaking
46,46,ACAD,Stand Up Paddleboarding
47,47,ACAD,Junior Ranger Program
48,48,ACAD,Skiing
49,49,ACAD,Cross-Country Skiing
50,50,ACAD,Snow Play
51,51,ACAD,Snowmobiling
52,52,ACAD,Snowshoeing
53,53,ACAD,Swimming
54,54,ACAD,Freshwater Swimming
55,55,ACAD,Saltwater Swimming
56,56,ACAD,Wildlife Watching
57,57,ACAD,Birdwatching
58,58,ACAD,Park Film
59,59,ACAD,Shopping
60,60,ACAD,Bookstore and Park Store
367,367,ARPA,Arts and Culture
368,368,ARPA,Astronomy
369,369,ARPA,Stargazing
370,370,ARPA,Biking
371,371,ARPA,Camping
372,372,ARPA,Backcountry Camping
373,373,ARPA,Car or Front Country Camping
374,374,ARPA,Group Camping
375,375,ARPA,Canyoneering
376,376,ARPA,Climbing
377,377,ARPA,Rock Climbing
378,378,ARPA,Guided Tours
379,379,ARPA,Hiking
380,380,ARPA,Horse Trekking
381,381,ARPA,Horseback Riding
382,382,ARPA,Junior Ranger Program
383,383,ARPA,Shopping
384,384,ARPA,Bookstore and Park Store
465,465,BADL,Auto and ATV
466,466,BADL,Scenic Driving
467,467,BADL,Astronomy
468,468,BADL,Biking
469,469,BADL,Camping
470,470,BADL,Backcountry Camping
471,471,BADL,Car or Front Country Camping
472,472,BADL,Horse Camping (see also Horse/Stock Use)
473,473,BADL,Compass and GPS
474,474,BADL,Food
475,475,BADL,Hiking
476,476,BADL,Horse Trekking
477,477,BADL,Horse Camping (see also camping)
478,478,BADL,Horseback Riding
479,479,BADL,Junior Ranger Program
480,480,BADL,Wildlife Watching
481,481,BADL,Birdwatching
482,482,BADL,Park Film
483,483,BADL,Shopping
484,484,BADL,Bookstore and Park Store
485,485,BADL,Gift Shop and Souvenirs
553,553,BIBE,Auto and ATV
554,554,BIBE,Scenic Driving
555,555,BIBE,Astronomy
556,556,BIBE,Stargazing
557,557,BIBE,Biking
558,558,BIBE,Camping
559,559,BIBE,Backcountry Camping
560,560,BIBE,Food
561,561,BIBE,Guided Tours
562,562,BIBE,Self-Guided Tours - Walking
563,563,BIBE,Self-Guided Tours - Auto
564,564,BIBE,Hiking
565,565,BIBE,Backcountry Hiking
566,566,BIBE,Front-Country Hiking
567,567,BIBE,Paddling
568,568,BIBE,Canoeing
569,569,BIBE,Canoe or Kayak Camping
570,570,BIBE,Kayaking
571,571,BIBE,Junior Ranger Program
572,572,BIBE,Wildlife Watching
573,573,BIBE,Birdwatching
574,574,BIBE,Park Film
575,575,BIBE,Shopping
576,576,BIBE,Bookstore and Park Store
740,740,BISC,Boating
741,741,BISC,Motorized Boating
742,742,BISC,Sailing
743,743,BISC,Boat Tour
744,744,BISC,Camping
745,745,BISC,Fishing
746,746,BISC,Guided Tours
747,747,BISC,Boat Tour
748,748,BISC,Paddling
749,749,BISC,Canoeing
750,750,BISC,Kayaking
751,751,BISC,Stand Up Paddleboarding
752,752,BISC,Junior Ranger Program
753,753,BISC,SCUBA Diving
754,754,BISC,Snorkeling
755,755,BISC,Swimming
756,756,BISC,Saltwater Swimming
757,757,BISC,Wildlife Watching
758,758,BISC,Birdwatching
759,759,BISC,Park Film
760,760,BISC,Museum Exhibits
761,761,BISC,Shopping
762,762,BISC,Bookstore and Park Store
763,763,BISC,Gift Shop and Souvenirs
764,764,BLCA,Astronomy
765,765,BLCA,Stargazing
