,name,code,Established,Year Established,RegionCode,State,Size (Acres),Economic Output (USD),Miles of hiking trails,Campgrounds,Latitude,Longitude
0,Acadia,ACAD,"February 26, 1919",1919,1,ME,49077,690.7,158,6,44.409286,-68.247501
1,Arches,ARPA,"November 12, 1971",1971,7,UT,76679,335.2,23,1,38.72261844,-109.5863666
2,Badlands,BADL,"November 10, 1978",1978,5,SD,242743,95.3,35,3,43.68584846,-102.482942
3,Big Bend,BIBE,"June 12, 1944",1944,6,TX,801163,56,159,48,29.29817767,-103.2297897
4,Biscayne,BISC,"June 28, 1980",1980,2,FL,172971,74.1,10,2,25.490587,-80.21023851
5,Black Canyon Of Gunnison,BLCA,"October 21, 1999",1999,7,CO,30780,26.1,21,3,38.57779869,-107.7242756
6,Bryce Canyon,BRCA,"February 25, 1928",1928,7,UT,35835,235.1,87,5,37.58399144,-112.1826689
7,Canyonlands,CANY,"September 12, 1964",1964,7,UT,337598,123.8,186,29,38.24555783,-109.8801624
8,Capitol Reef,CARE,"December 18, 1971",1971,7,UT,241905,121.3,27,4,38.28216531,-111.2470484
9,Carlsbad Caverns,CAVE,"May 14, 1930",1930,7,NM,46766,31.2,85,0,32.14089463,-104.5529688
10,Channel Islands,CHIS,"March 5, 1980",1980,8,CA,249561,31.9,46,7,33.98680093,-119.9112735
11,Congaree,CONG,"November 10, 2003",2003,2,SC,26693,14.2,39,3,33.79187523,-80.74867805
12,Crater Lake,CRLA,"May 22, 1902",1902,"9, 10",OR,183224,74.8,78,3,42.94065854,-122.1338414
13,Cuyahoga Valley,CUVA,"October 11, 2000",2000,3,OH,32597,86.2,111,2,41.26093905,-81.57116722
14,Death Valley,DEVA,"October 31, 1994",1994,"8, 10",CA,3408446,139.3,40,58,36.48753731,-117.134395
15,Denali,DENA,"February 26, 1917",1917,11,AK,4740911,713.5,66,7,63.29777484,-151.0526568
16,Dry Tortugas,DRTO,"October 26, 1992",1992,2,FL,64701,6.1,0,1,24.628741,-82.87319
17,Everglades,EVER,"May 30, 1934",1934,2,FL,1400539,192.5,229,25,25.37294225,-80.88200301
18,Gates Of The Arctic,GAAR,"December 2, 1980",1980,11,AK,7523897,23.4,0,0,67.75961636,-153.2917758
19,Gateway Arch,JEFF,"February 22, 2018",2018,"3, 4",MO,193,196.2,0,0,38.6258069,-90.1892508
